"Month_Day","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Mean","Median","Maximum","Minimum"
"03-08",26.5708499999994,35.17913,32.33938,31.0070000000067,35.1944800000022,36.81544,36.01724,36.06329,38.64516,38.53771,40.60075,35.1791300000008,36.01724,40.60075,26.5708499999994
"03-09",27.8909500000011,35.97426,37.46321,27.63,37.80398,39.29907,36.8707,37.84696,39.65212,37.41102,40.29068,36.1939045454547,37.46321,40.29068,27.63
"03-10",27.7190300000011,35.87909,37.64127,30.3929999999933,37.8684500000022,38.86927,36.57905,39.08724,39.50783,37.33734,39.98982,36.4428536363633,37.64127,39.98982,27.7190300000011
"03-11",22.9912299999983,35.99268,33.81298,36.5330000000045,31.41531,35.89137,37.21761,41.4143,35.305,39.04733,38.85392,35.3158845454548,35.99268,41.4143,22.9912299999983
"03-12",24.9775199999994,37.48777,39.8977199999989,37.1469999999955,41.4235100000022,30.21801,40.72969,32.43455,39.48941,37.26366,36.1553899999999,36.1112936363633,37.26366,41.4235100000022,24.9775199999994
"03-13",28.2440000000022,37.07025,34.8567800000011,31.3140000000022,29.30008,38.47631,38.66358,40.93231,39.6029999999983,37.0242,35.23132,35.5196209090913,37.0242,40.93231,28.2440000000022
"03-14",28.4466199999989,39.285255,33.40467,33.4630000000045,31.62714,38.52543,40.92003,40.99371,46.0039500000017,33.2174,38.59604,36.7712040909095,38.52543,46.0039500000017,28.4466199999989
"03-15",31.94642,35.7655,39.2591600000011,31.6209999999978,36.3181000000022,36.6865,39.90693,41.97918,41.9515499999989,38.8662,39.3420499999999,37.6038718181818,38.8662,41.97918,31.6209999999978
"03-16",37.5000499999989,35.54753,36.4808099999966,31.6209999999978,36.8614899999911,42.3813500000067,38.27983,43.59707,37.8868699999994,34.03709,39.61528,37.6189427272719,37.5000499999989,43.59707,31.6209999999978
"03-17",27.14801,37.3434799999989,40.6038200000011,35.6120000000067,37.1101600000045,36.0724999999978,35.79927,51.0848,38.7618199999994,35.40017,40.15253,37.7353236363644,37.1101600000045,51.0848,27.14801
"03-18",25.1463700000006,38.2491300000011,39.9529800000034,32.8489999999911,32.05694,33.04241,36.44397,53.98595,36.49923,40.95687,48.46916,37.9683645454542,36.49923,53.98595,25.1463700000006
"03-19",27.3230000000017,38.1416800000011,38.3442999999978,33.4630000000045,32.235,38.4486799999955,34.66644,51.34882,40.7542500000006,37.06104,40.0573600000013,37.4403245454548,38.1416800000011,51.34882,27.3230000000017
"03-20",26.095,39.0350499999955,38.4333299999977,34.3840000000022,34.6909999999978,37.2698000000089,36.1032,47.97796,37.8745900000017,37.56452,32.8367199999998,36.5695609090912,37.2698000000089,47.97796,26.095
"03-21",32.5419999999983,36.5115100000011,36.2075800000011,28.2440000000022,27.63,32.5450699999955,43.3729600000022,42.82036,40.4687399999983,42.14189,29.4320899999989,35.6287454545453,36.2075800000011,43.3729600000022,27.63
"03-22",24.56,40.8310000000033,36.8430700000034,35.305,28.8580000000045,40.7511800000045,39.3635400000045,37.78249,38.7648900000011,40.91082,30.2916900000007,35.8419709090929,37.78249,40.91082,24.56
"03-23",26.9546,38.0679999999989,41.2393099999978,27.3229999999933,32.5419999999955,40.6744299999978,27.4120299999933,36.38871,38.4609599999989,40.30296,33.6134299999988,34.8163118181795,36.38871,41.2393099999978,26.9546
"03-24",31.3661899999994,35.305,52.0364999999978,30.7,36.2259999999978,35.4063099999978,38.0710700000022,38.7034900000009,39.0780299999994,42.09277,34.0156000000012,37.5455418181815,36.2259999999978,52.0364999999978,30.7
"03-25",25.9875500000011,37.1470000000011,48.9603600000022,34.9980000000045,41.1380000000045,36.2382800000022,40.2599800000045,40.6038199999994,39.5999300000017,41.81033,36.2659100000003,38.4553781818201,39.5999300000017,48.9603600000022,25.9875500000011
